127.0.0.1 - - [18/Oct/2016:14:35:16 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:17 +0900] "GET /bada_admin/index HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:17 +0900] "GET /bada_admin/assets/css/common_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:17 +0900] "GET /bada_admin/assets/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:23 +0900] "POST /bada_admin/login_ok.do HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:23 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:25 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:35:26 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:16 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:18 +0900] "GET /bada_admin/index HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:22 +0900] "POST /bada_admin/login_ok.do HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:22 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:23 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:25 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:28 +0900] "GET /bada_admin/board_manage/qna_list.do?page=2 HTTP/1.1" 200 18642
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:45:29 +0900] "GET /bada_admin/board_manage/qna_view.do?id=101 HTTP/1.1" 200 10273
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:20 +0900] "GET /bada_admin/board_manage/qna_view.do?id=101 HTTP/1.1" 200 10325
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:20 +0900] "GET /bada_admin/assets/css/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:20 +0900] "GET /bada_admin/assets/js/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:20 +0900] "GET /bada_admin/assets/css/common_admin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:20 +0900] "GET /bada_admin/assets/js/daumPostCode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:23 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:25 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:27 +0900] "GET /bada_admin/board_manage/qna_list.do?page=3 HTTP/1.1" 200 18639
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:46:28 +0900] "GET /bada_admin/board_manage/qna_view.do?id=93 HTTP/1.1" 200 10324
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:32 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:33 +0900] "GET /bada_admin/index HTTP/1.1" 200 3133
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:37 +0900] "POST /bada_admin/login_ok.do HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:37 +0900] "GET /bada_admin/board_manage/dashboard.do HTTP/1.1" 200 9063
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:38 +0900] "GET /bada_admin/board_manage/qna_list.do HTTP/1.1" 200 18583
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:40 +0900] "GET /bada_admin/board_manage/qna_view.do?id=109 HTTP/1.1" 200 10170
0:0:0:0:0:0:0:1 - - [18/Oct/2016:14:51:41 +0900] "GET /bada_admin/board_manage/qna_answer.do?id=109&answer_status=N HTTP/1.1" 200 10286
